,prompt,answer
10,"Product: Carex Health Brands Soft Hands Cotton Gloves, XL
Review A: I have extremely dry skin during the winter months.  I purchased these cotton gloves to wear while I sleep during winter nights while moisturizing my hands.  They are a big help!
Review B: The gloves I received have 5 fingers,with no thumb.  All 5 protuberances sprout from the same line, and are too narrow to fit fingers into. Unwearable crap.
Which review is more positive about Product, A or B?",A
11,"Product: Samsung MC11H6033CT Countertop Convection Microwave with 1.1 cu. ft. Capacity, SLIM FRY Technology, Grilling Element, Ceramic Enamel Interior, Drop Down Door, and Eco Mode in Stainless Steel
Review A: The oven  stopped working  1 month after I got it, Samsung is unhelpful, a repair guy came said he fixed it. It is still not working,<br />I have been chasing Samsung for 2 weeks.
Review B: We love it. It works perfectly. The only thing I didn't realize until we got it is there is no timer on it that you can use alone without using the microwave itself.
Which review is more positive about Product, A or B?",B
12,"Product: Danby DDW611WLED Countertop Dishwasher - White
Review A: I give this a 5 star great little dishwasher.  If you don't have a lot off room perfect for you.  Clans excellent.  Works as well as the full size.  Very quiet.
Review B: It leaks in several places and cant find away to contact seller it does however clean the dishes well but has destoyed my counter top ! also would like to add that my counter was level .
Which review is more positive about Product, A or B?",A
13,"Product: ARKSEN Compact Mini Laundry Washing Machine 5KG Capacity Dorm RV Home 11LBS Spin Dryer
Review A: All manual' ! Wasting my time, I don't know there is a stone age washing on this century. The only advantage is that the dry effect is good, the clothes do not drop'
Review B: This works for what I need. I have no washer and dryer hookup, so I use this in my bathroom. That way I don't have to lug it up up and down the stairs and I don't have to go to the laundromat.
Which review is more positive about Product, A or B?",B
14,"Product: Ubervita Ubertest All Natural Testosterone Booster for Men, 60 Count
Review A: This is a gimmick. Don't buy it. I was duped by the reviews, but it really doesn't do much except give you some energy. If you want testosterone supplements, go to your doctor and get the real thing.
Review B: I have been using your product for a few days and I do feel the difference when I am in the gym. My address is 525 Argyle Ave. Orange New Jersey  07050
Which review is more positive about Product, A or B?",B
15,"Product: Samsung Counter Top Microwave
Review A: Prompt delivery and great looking microwave. I cannot wait to try out grill function. I already went through instruction book to familiarize myself with the functionality.
Review B: I've had the microwave for 2-months. It used to open easily. It no longer opens when you push the button, you have to manually pull the door open. definitely a disappointment. I hope I can return it!
Which review is more positive about Product, A or B?",A
16,"Product: Avalon Bay Portable Ice Maker
Review A: Makes lots of ice very quickly.There seems to be no difference between the small and large size cubes,but that is not an issue for us,So far so good, we love it.
Review B: The box states scratch & dent .It does not state this in the ad.<br />After reading other reviews ,it appears that I am not the only one that received a scratch & dent unit
Which review is more positive about Product, A or B?",A
17,"Product: OnePurify RFC0800A Water Filter Replacement Cartridge, 2 Pack
Review A: Installed filter ran water for 5mins, drink the water and OMG it taste like sewage.  I feel sick as I am writing this review, I did file a return and order the OEM immediately.
Review B: works just as good as the original filter that came with the fridge... if your looking ways to save money on outrages filters this is the way to do it ...
Which review is more positive about Product, A or B?",B
18,"Product: Elegant Hand Crafted Wooden Scholar's Antique Book Tissue Box Dispenser
Review A: Absolutely terrible you cant even fit a normal size box of tissue in it at all.  I wanted to send it back but it was past the allowable date to do so.  A total waste of my money.
Review B: Just adorable!!  You have to take the tissues out of the original cardboard box and install them in the holder.  Looks alto better than the tissue cardboard boxes around the house!
Which review is more positive about Product, A or B?",B
19,"Product: Panda Small Compact Portable Washing Machine 7.9-15lbs with Spin Cycle …
Review A: Purchasing and pickup were flawless and I couldn't be happier with the machine. Fits perfectly in my small home, it's easy to use and washes like a champ. No more Laundromat for me!
Review B: Don't let the spin &#34;dryer&#34; feature fool you. Even several times of running it, the clothes were soaked. I had to run to the laundry mat with the damp stinky clothes. I returned this thing.
Which review is more positive about Product, A or B?",A
20,"Product: LT700P Replacement Water Filter for LG Refrigerators and Kenmore 46-9690 by NewView&trade; ? Home Kitchen Purifier & Filtration System
Review A: Delivery was great and the product works great.<br />I'm always weary when I buy replacement cartridges<br />but these worked awesome. Great product and will<br />purchase again.
Review B: This filter seemed OK at first, but then ice water from the night before tasted rough in the morning.  Then within another month even new water tasted like Atlanta tap water.  Will not buy again.
Which review is more positive about Product, A or B?",A
21,"Product: Whynter WC-16S SNO 16 Bottle Wine Cooler, Platinum with Lock
Review A: The temperature doesn't stay consistent.  It will go from 52-57 throughout the day.  Concerned it won't keep the wine good, but it hasn't ruined any yet.
Review B: Is a great price for such a large cooler. Makes significant low noise but does the job and doesn't shake which is essential for preservation of aged wines.
Which review is more positive about Product, A or B?",B
22,"Product: W10314173 - DRYER REPAIR KIT (4 ROLLERS, BELT, IDLER WHEEL, CLIPS, WASHERS) FOR ALL MAJOR BRAND DRYERS
Review A: Fixed the sqeeling noise (idle pulley) and while I had the machine apart replaced rollers and belt. Fit perfect Whirlpool front load. also great price.
Review B: The rollers smell like burning tires. Avoid this kit despite the excellent value. I found a kit with rollers that were the same diameter but didn't smell like a tire fire.
Which review is more positive about Product, A or B?",A
23,"Product: 1 X 3949247 WASHING MACHINE LID SWITCH REPAIR PART FOR WHIRLPOOL, AMANA, MAYTAG, KENMORE AND MORE
Review A: Replaced this unit 8/2014, and here we are again. The longevity is lacking contrasted the original which lasted about 20 years. Ill give it a second go.
Review B: Does the job on my Series 80 Kenmore washer. Save the metal bracket from your old unit as this one does not come with one. Can't beat the price and it shipped quickly.
Which review is more positive about Product, A or B?",B
24,"Product: Midea WHS-65LB1 Compact Single Reversible Door Refrigerator, 1.6 Cubic Feet(0.045 Cubic Meter), Black
Review A: Very quite when cycling. Doesn't appear to leak anywhere. Keeps things consistently cold. Does what it's supposed to do, which is keep bottled water cold upstairs.
Review B: in all my time in amazon since 08 this is my first bad electronic review. It didn't even work for up to 24 hrs I advice people to pay a lil more for something that will work
Which review is more positive about Product, A or B?",A
25,"Product: Intex Comfort Plush Elevated Dura-Beam Airbed with Built-in Electric Pump, Bed Height 22 inch, Queen
Review A: We used this airbed for three nights and all three nights we needed to add air to the bed.  More so, we had to add air 2-3 times throughout the night.  :(
Review B: Inexpensive, great quality, super comfortable, and happy relatives. I put a memory foam mattress topper on top and you can't even tell it's an air mattress.
Which review is more positive about Product, A or B?",B
26,"Product: NewAir AW-121E 12-Bottle Thermoelectric Wine Cooler
Review A: It came with a dent in the door frame. . . since I was keeping it in the garage I didn't think it was worth the inconvenience or returning it.<br />It seems to be working well. . .
Review B: Purchased one about 10 mos ago. It just gave out and died. I would not recommend it. Also it is fairly loud. Amazon will not accept a return so: I lose.
Which review is more positive about Product, A or B?",A
27,"Product: Vega One Plant Protein Powder
Review A: I have had the Vega one products previously but this one tasted AWEFUL!!!!!!! Wouldn't recommend at all. Even after mixing it with frozen blueberries and banana it was still tough to choke down.
Review B: I have purchased this more than once and I really enjoy it. I like a shake for breakfast and I feel like I am doing something healthy for my body. It holds me over until lunch. I will buy it again.
Which review is more positive about Product, A or B?",B
28,"Product: Honey-Can-Do SFT-01277 Drawers For Hanging Organizer
Review A: The best kitchen camp addition ever! Strapped to canopy and its perfect shelving! Oh, my husband cut thin wood for stability on the shelves in case i put weight, will be fine without too though.
Review B: This is the second one I was buying. The first one was great. The second one is not sturdy and small. Charging same price and not getting what I paid for.
Which review is more positive about Product, A or B?",A
29,"Product: Lunatec Aquabot sport water bottle - a pressurized mister, camp shower and hydration in one. Portable running water for your pocket. BPA free.
Review A: If you're a golfer this is a must have. On hot humid days, this is cooling relief.  On hole #12 we had the beverage girl throw some ice in it and aaahhhh, what a nice cool mist. PERFECT!!!
Review B: It sprays less that 2 feet.  Have to pump before each spray.  Could be that I have a defective pump.  But I have to pay for shipping back to vendor which is hardly worth it.
Which review is more positive about Product, A or B?",A
